spec,race,with_dst_pair,no_dst_pair,with_dst_dps,no_dst_dps,dst_value_dps,dst_value_pct,dst_uptime_pct,wowhead_gear_url
Retribution Paladin,Human,Dragonspine Trophy (28830) + Bloodlust Brooch (29383),Bloodlust Brooch (29383) + Abacus of Violent Odds (28288),2346.33,2296.50,49.83,2.17,23.45,https://www.wowhead.com/tbc/guide/retribution-paladin-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Combat Rogue,Human,Dragonspine Trophy (28830) + Warp-Spring Coil (30450),Warp-Spring Coil (30450) + Madness of the Betrayer (32505),2220.64,2183.11,37.53,1.72,29.97,https://www.wowhead.com/tbc/guide/rogue-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Fury Warrior,Human,Dragonspine Trophy (28830) + Madness of the Betrayer (32505),Madness of the Betrayer (32505) + Tsunami Talisman (30627),1704.06,1666.91,37.15,2.23,28.43,https://www.wowhead.com/tbc/guide/fury-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Survival Hunter,Night Elf,Dragonspine Trophy (28830) + Bloodlust Brooch (29383),Bloodlust Brooch (29383) + Abacus of Violent Odds (28288),2050.36,2018.46,31.90,1.58,27.62,https://www.wowhead.com/tbc/guide/survival-hunter-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Enhancement Shaman,Alliance Shaman no-hit proxy,Dragonspine Trophy (28830) + Madness of the Betrayer (32505),Madness of the Betrayer (32505) + Ashtongue Talisman of Vision (32491),2180.47,2151.88,28.59,1.33,26.01,https://www.wowhead.com/tbc/guide/enhancement-shaman-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Bloodlust Brooch (29383),Abacus of Violent Odds (28288) + Empty Mug of Direbrew (38287),1504.25,1476.32,27.93,1.89,24.33,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
BM Hunter,Night Elf,Dragonspine Trophy (28830) + Bloodlust Brooch (29383),Bloodlust Brooch (29383) + Tsunami Talisman (30627),2110.25,2085.41,24.85,1.19,26.58,https://www.wowhead.com/tbc/guide/beast-mastery-hunter-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Feral Cat,Night Elf,Dragonspine Trophy (28830) + Tsunami Talisman (30627),Tsunami Talisman (30627) + Bloodlust Brooch (29383),2615.30,2608.59,6.72,0.26,20.76,https://www.wowhead.com/tbc/guide/feral-druid-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
